
# Surface 0 of 1 surfaces

# Curve title: ""MAC_boco_omega.csv""

# IsoCurve 0, 201 points
# x y z type
 29.9 -5.4  0.0374444 i
 29.9 -5.3  0.0483819 i
 29.9 -5.2  0.062692 i
 29.9 -5.1  0.0810057 i
 29.9 -5  0.103871 i
 29.9 -4.9  0.131664 i
 29.9 -4.8  0.164497 i
 29.9 -4.7  0.202156 i
 29.9 -4.6  0.24408 i
 29.9 -4.5  0.289389 i
 29.9 -4.4  0.336968 i
 29.9 -4.3  0.385587 i
 29.9 -4.2  0.434033 i
 29.9 -4.1  0.481229 i
 29.9 -4  0.52632 i
 29.9 -3.9  0.568706 i
 29.9 -3.8  0.608036 i
 29.9 -3.7  0.64416 i
 29.9 -3.6  0.677069 i
 29.9 -3.5  0.706841 i
 29.9 -3.4  0.733594 i
 29.9 -3.3  0.757463 i
 29.9 -3.2  0.778588 i
 29.9 -3.1  0.797102 i
 29.9 -3  0.813113 i
 29.9 -2.9  0.826656 i
 29.9 -2.8  0.837687 i
 29.9 -2.7  0.846384 i
 29.9 -2.6  0.853219 i
 29.9 -2.5  0.858082 i
 29.9 -2.4  0.860671 i
 29.9 -2.3  0.861202 i
 29.9 -2.2  0.859821 i
 29.9 -2.1  0.856644 i
 29.9 -2  0.851761 i
 29.9 -1.9  0.845251 i
 29.9 -1.8  0.837188 i
 29.9 -1.7  0.827643 i
 29.9 -1.6  0.816689 i
 29.9 -1.5  0.804404 i
 29.9 -1.4  0.790868 i
 29.9 -1.3  0.77617 i
 29.9 -1.2  0.760408 i
 29.9 -1.1  0.74369 i
 29.9 -1  0.726138 i
 29.9 -0.9  0.707888 i
 29.9 -0.8  0.689094 i
 29.9 -0.7  0.669931 i
 29.9 -0.6  0.650595 i
 29.9 -0.5  0.631309 i
 29.9 -0.4  0.612322 i
 29.9 -0.3  0.593914 i
 29.9 -0.2  0.576395 i
 29.9 -0.1  0.560101 i
 29.9  0  0.545379 i
 29.9  0.1  0.532556 i
 29.9  0.2  0.521944 i
 29.9  0.3  0.513859 i
 29.9  0.4  0.508376 i
 29.9  0.5  0.50542 i
 29.9  0.6  0.504521 i
 29.9  0.7  0.504581 i
 29.9  0.8  0.503609 i
 29.9  0.9  0.498719 i
 29.9  1  0.486638 i
 29.9  1.1  0.464774 i
 29.9  1.2  0.432455 i
 29.9  1.3  0.391532 i
 29.9  1.4  0.345732 i
 29.9  1.5  0.298933 i
 29.9  1.6  0.25347 i
 29.9  1.7  0.209574 i
 29.9  1.8  0.166143 i
 29.9  1.9  0.122027 i
 29.9  2  0.0769041 i
 29.9  2.1  0.0313005 i
 29.9  2.2 -0.0137425 i
 29.9  2.3 -0.0569911 i
 29.9  2.4 -0.09725 i
 29.9  2.5 -0.133516 i
 29.9  2.6 -0.165083 i
 29.9  2.7 -0.191595 i
 29.9  2.8 -0.213054 i
 29.9  2.9 -0.229752 i
 29.9  3 -0.242182 i
 29.9  3.1 -0.250918 i
 29.9  3.2 -0.256526 i
 29.9  3.3 -0.259499 i
 29.9  3.4 -0.260226 i
 29.9  3.5 -0.259001 i
 29.9  3.6 -0.256036 i
 29.9  3.7 -0.251491 i
 29.9  3.8 -0.245499 i
 29.9  3.9 -0.238188 i
 29.9  4 -0.229687 i
 29.9  4.1 -0.220141 i
 29.9  4.2 -0.209709 i
 29.9  4.3 -0.198563 i
 29.9  4.4 -0.186878 i
 29.9  4.5 -0.174834 i
 29.9  4.6 -0.162605 i
 29.9  4.7 -0.150359 i
 29.9  4.8 -0.138254 i
 29.9  4.9 -0.126428 i
 29.9  5 -0.115005 i
 29.9  5.1 -0.104085 i
 29.9  5.2 -0.0937494 i
 29.9  5.3 -0.0840577 i
 29.9  5.4 -0.0750491 i
 29.9  5.5 -0.0667443 i
 29.9  5.6 -0.0591473 i
 29.9  5.7 -0.0522477 i
 29.9  5.8 -0.0460235 i
 29.9  5.9 -0.0404428 i
 29.9  6 -0.0354671 i
 29.9  6.1 -0.0310526 i
 29.9  6.2 -0.0271526 i
 29.9  6.3 -0.0237189 i
 29.9  6.4 -0.0207034 i
 29.9  6.5 -0.0180593 i
 29.9  6.6 -0.0157421 i
 29.9  6.7 -0.0137113 i
 29.9  6.8 -0.0119317 i
 29.9  6.9 -0.0103756 i
 29.9  7 -0.00902499 i
 29.9  7.1 -0.00787495 i
 29.9  7.2 -0.00693691 i
 29.9  7.3 -0.00624235 i
 29.9  7.4 -0.00584594 i
 29.9  7.5 -0.00582755 i
 29.9  7.6 -0.00629182 i
 29.9  7.7 -0.00736463 i
