
# Surface 0 of 1 surfaces

# Curve title: ""MAC_boco_omega.csv""

# Contour 0, label:      7.3
-0.493453 -1.6  7.3 
-0.5 -1.60546  7.3 
-0.504413 -1.6  7.3 
-0.5 -1.58806  7.3 
-0.493453 -1.6  7.3 


# Contour 1, label:      7.1
-0.48402 -1.6  7.1 
-0.5 -1.61334  7.1 
-0.510772 -1.6  7.1 
-0.5 -1.57086  7.1 
-0.48402 -1.6  7.1 


# Contour 2, label:      6.9
-0.474587 -1.6  6.9 
-0.5 -1.62121  6.9 
-0.517132 -1.6  6.9 
-0.5 -1.55365  6.9 
-0.474587 -1.6  6.9 


# Contour 3, label:      6.7
-0.465154 -1.6  6.7 
-0.5 -1.62909  6.7 
-0.523491 -1.6  6.7 
-0.5 -1.53645  6.7 
-0.465154 -1.6  6.7 


# Contour 4, label:      6.5
-0.586511 -1.5  6.5 
-0.6 -1.50156  6.5 
-0.600656 -1.5  6.5 
-0.6 -1.49799  6.5 
-0.586511 -1.5  6.5 

-0.455721 -1.6  6.5 
-0.5 -1.63696  6.5 
-0.52985 -1.6  6.5 
-0.5 -1.51924  6.5 
-0.455721 -1.6  6.5 


# Contour 5, label:      6.3
-0.509169 -1.5  6.3 
-0.6 -1.51048  6.3 
-0.604418 -1.5  6.3 
-0.6 -1.48648  6.3 
-0.509169 -1.5  6.3 

-0.446288 -1.6  6.3 
-0.5 -1.64483  6.3 
-0.536209 -1.6  6.3 
-0.5 -1.50204  6.3 
-0.446288 -1.6  6.3 


# Contour 6, label:      6.1
-0.436855 -1.6  6.1 
-0.5 -1.65271  6.1 
-0.542568 -1.6  6.1 
-0.6 -1.5194  6.1 
-0.608181 -1.5  6.1 
-0.6 -1.47496  6.1 
-0.5 -1.49432  6.1 
-0.496406 -1.5  6.1 
-0.436855 -1.6  6.1 


# Contour 7, label:      5.9
-0.427421 -1.6  5.9 
-0.5 -1.66058  5.9 
-0.548927 -1.6  5.9 
-0.6 -1.52833  5.9 
-0.611943 -1.5  5.9 
-0.6 -1.46345  5.9 
-0.5 -1.48788  5.9 
