
# Surface 0 of 1 surfaces

# Curve title: ""MAC_example_omega.csv""

# Contour 0, label:      6.9
-0.477691 -0.6  6.9 
-0.5 -0.608336  6.9 
-0.507072 -0.6  6.9 
-0.5 -0.578165  6.9 
-0.477691 -0.6  6.9 


# Contour 1, label:      6.7
-0.460526 -0.6  6.7 
-0.5 -0.61475  6.7 
-0.512513 -0.6  6.7 
-0.5 -0.561365  6.7 
-0.460526 -0.6  6.7 


# Contour 2, label:      6.5
-0.443361 -0.6  6.5 
-0.5 -0.621164  6.5 
-0.517954 -0.6  6.5 
-0.5 -0.544564  6.5 
-0.443361 -0.6  6.5 


# Contour 3, label:      6.3
-0.426196 -0.6  6.3 
-0.5 -0.627578  6.3 
-0.523396 -0.6  6.3 
-0.5 -0.527764  6.3 
-0.426196 -0.6  6.3 


# Contour 4, label:      6.1
-0.409031 -0.6  6.1 
-0.5 -0.633992  6.1 
-0.528837 -0.6  6.1 
-0.5 -0.510963  6.1 
-0.409031 -0.6  6.1 


# Contour 5, label:      5.9
-0.394654 -0.6  5.9 
-0.4 -0.610249  5.9 
-0.5 -0.640405  5.9 
-0.534278 -0.6  5.9 
-0.523024 -0.5  5.9 
-0.5 -0.498092  5.9 
-0.498229 -0.5  5.9 
-0.4 -0.5976  5.9 
-0.394654 -0.6  5.9 


# Contour 6, label:      5.7
-0.383374 -0.6  5.7 
-0.4 -0.631877  5.7 
-0.5 -0.646819  5.7 
-0.53972 -0.6  5.7 
-0.589291 -0.5  5.7 
-0.5 -0.492601  5.7 
-0.493132 -0.5  5.7 
-0.4 -0.592536  5.7 
-0.383374 -0.6  5.7 


# Contour 7, label:      5.5
-0.372094 -0.6  5.5 
-0.4 -0.653505  5.5 
-0.5 -0.653233  5.5 
-0.545161 -0.6  5.5 
-0.6 -0.50768  5.5 
-0.603523 -0.5  5.5 
-0.6 -0.491181  5.5 
-0.5 -0.487109  5.5 
-0.488035 -0.5  5.5 
-0.4 -0.587471  5.5 
-0.372094 -0.6  5.5 


# Contour 8, label:      5.3
-0.360814 -0.6  5.3 
-0.4 -0.675132  5.3 
-0.5 -0.659647  5.3 
-0.550602 -0.6  5.3 
-0.6 -0.51684  5.3 
-0.607725 -0.5  5.3 
-0.6 -0.480663  5.3 
-0.5 -0.481618  5.3 
-0.482938 -0.5  5.3 
-0.4 -0.582407  5.3 
-0.360814 -0.6  5.3 


# Contour 9, label:      5.1
-0.349533 -0.6  5.1 
-0.4 -0.69676  5.1 
-0.5 -0.666061  5.1 
-0.556044 -0.6  5.1 
-0.6 -0.526001  5.1 
-0.611927 -0.5  5.1 
-0.6 -0.470144  5.1 
-0.5 -0.476127  5.1 
-0.477841 -0.5  5.1 
-0.4 -0.577343  5.1 
-0.349533 -0.6  5.1 


# Contour 10, label:      4.9
-0.287131 -0.7  4.9 
-0.3 -0.705805  4.9 
-0.4 -0.707627  4.9 
-0.416536 -0.7  4.9 
-0.5 -0.672475  4.9 
-0.561485 -0.6  4.9 
-0.6 -0.535161  4.9 
-0.616129 -0.5  4.9 
-0.6 -0.459626  4.9 
-0.5 -0.470635  4.9 
-0.472744 -0.5  4.9 
-0.4 -0.572279  4.9 
-0.338253 -0.6  4.9 
-0.3 -0.689506  4.9 
-0.287131 -0.7  4.9 


# Contour 11, label:      4.7
-0.254764 -0.7  4.7 
-0.3 -0.720404  4.7 
-0.4 -0.716598  4.7 
-0.435985 -0.7  4.7 
-0.5 -0.678889  4.7 
-0.566926 -0.6  4.7 
-0.6 -0.544321  4.7 
-0.620331 -0.5  4.7 
-0.6 -0.449107  4.7 
-0.5 -0.465144  4.7 
-0.467648 -0.5  4.7 
-0.4 -0.567214  4.7 
-0.326973 -0.6  4.7 
-0.3 -0.663112  4.7 
-0.254764 -0.7  4.7 


# Contour 12, label:      4.5
-0.222396 -0.7  4.5 
-0.3 -0.735004  4.5 
-0.4 -0.725569  4.5 
