
# Surface 0 of 1 surfaces

# Curve title: ""MAC_deco_5000.csv""

# IsoCurve 0, 201 points
# x y z type
 29.9 -5.4 -0.0151054 i
 29.9 -5.3 -0.0167423 i
 29.9 -5.2 -0.0184748 i
 29.9 -5.1 -0.02029 i
 29.9 -5 -0.0221717 i
 29.9 -4.9 -0.0241004 i
 29.9 -4.8 -0.0260545 i
 29.9 -4.7 -0.0280102 i
 29.9 -4.6 -0.0299427 i
 29.9 -4.5 -0.0318261 i
 29.9 -4.4 -0.0336339 i
 29.9 -4.3 -0.0353399 i
 29.9 -4.2 -0.0369173 i
 29.9 -4.1 -0.0383397 i
 29.9 -4 -0.0395801 i
 29.9 -3.9 -0.0406113 i
 29.9 -3.8 -0.0414049 i
 29.9 -3.7 -0.0419299 i
 29.9 -3.6 -0.0421508 i
 29.9 -3.5 -0.0420247 i
 29.9 -3.4 -0.0414976 i
 29.9 -3.3 -0.0405008 i
 29.9 -3.2 -0.0389404 i
 29.9 -3.1 -0.0367326 i
 29.9 -3 -0.0337112 i
 29.9 -2.9 -0.0294816 i
 29.9 -2.8 -0.0235964 i
 29.9 -2.7 -0.0154897 i
 29.9 -2.6 -0.00447897 i
 29.9 -2.5  0.0101582 i
 29.9 -2.4  0.0289468 i
 29.9 -2.3  0.0517514 i
 29.9 -2.2  0.0769229 i
 29.9 -2.1  0.100498 i
 29.9 -2  0.115453 i
 29.9 -1.9  0.116811 i
 29.9 -1.8  0.106667 i
 29.9 -1.7  0.0909665 i
 29.9 -1.6  0.0741435 i
 29.9 -1.5  0.05846 i
 29.9 -1.4  0.0449375 i
 29.9 -1.3  0.0337928 i
 29.9 -1.2  0.0248389 i
 29.9 -1.1  0.0177514 i
 29.9 -1  0.012193 i
 29.9 -0.9  0.00786207 i
 29.9 -0.8  0.00450625 i
 29.9 -0.7  0.00192107 i
 29.9 -0.6 -5.63934e-05 i
 29.9 -0.5 -0.00155492 i
 29.9 -0.4 -0.00267592 i
 29.9 -0.3 -0.00349911 i
 29.9 -0.2 -0.00408709 i
 29.9 -0.1 -0.0044889 i
 29.9  0 -0.00474281 i
 29.9  0.1 -0.00487841 i
 29.9  0.2 -0.00491834 i
 29.9  0.3 -0.00487959 i
 29.9  0.4 -0.00477464 i
 29.9  0.5 -0.00461238 i
 29.9  0.6 -0.00439895 i
 29.9  0.7 -0.00413858 i
 29.9  0.8 -0.00383428 i
 29.9  0.9 -0.00348866 i
 29.9  1 -0.00310464 i
 29.9  1.1 -0.00268603 i
 29.9  1.2 -0.00223816 i
 29.9  1.3 -0.00176801 i
 29.9  1.4 -0.00128444 i
 29.9  1.5 -0.000797752 i
 29.9  1.6 -0.000320542 i
 29.9  1.7  0.000158215 i
 29.9  1.8  0.000624999 i
 29.9  1.9  0.00106991 i
 29.9  2  0.00148126 i
 29.9  2.1  0.001849 i
 29.9  2.2  0.00216533 i
 29.9  2.3  0.0024261 i
 29.9  2.4  0.00263091 i
 29.9  2.5  0.00278431 i
 29.9  2.6  0.00289591 i
 29.9  2.7  0.0029797 i
 29.9  2.8  0.00305245 i
 29.9  2.9  0.00313139 i
 29.9  3  0.00323141 i
 29.9  3.1  0.0033625 i
 29.9  3.2  0.00352796 i
 29.9  3.3  0.00372389 i
 29.9  3.4  0.00394021 i
 29.9  3.5  0.0041628 i
 29.9  3.6  0.00437635 i
 29.9  3.7  0.00456713 i
 29.9  3.8  0.0047251 i
 29.9  3.9  0.00484498 i
 29.9  4  0.00492624 i
 29.9  4.1  0.00497229 i
 29.9  4.2  0.00498903 i
 29.9  4.3  0.00498345 i
 29.9  4.4  0.00496226 i
 29.9  4.5  0.00493095 i
 29.9  4.6  0.00489333 i
 29.9  4.7  0.00485131 i
 29.9  4.8  0.00480511 i
 29.9  4.9  0.00475357 i
 29.9  5  0.00469455 i
 29.9  5.1  0.00462542 i
 29.9  5.2  0.00454347 i
 29.9  5.3  0.00444629 i
 29.9  5.4  0.00433205 i
 29.9  5.5  0.00419969 i
 29.9  5.6  0.00404906 i
 29.9  5.7  0.00388088 i
 29.9  5.8  0.00369672 i
 29.9  5.9  0.00349878 i
 29.9  6  0.00328981 i
 29.9  6.1  0.0030728 i
 29.9  6.2  0.00285089 i
 29.9  6.3  0.0026271 i
 29.9  6.4  0.00240425 i
 29.9  6.5  0.00218484 i
 29.9  6.6  0.00197094 i
 29.9  6.7  0.00176422 i
 29.9  6.8  0.00156594 i
 29.9  6.9  0.00137692 i
 29.9  7  0.00119767 i
 29.9  7.1  0.00102837 i
 29.9  7.2  0.000868992 i
 29.9  7.3  0.000719332 i
 29.9  7.4  0.000579079 i
 29.9  7.5  0.000447874 i
 29.9  7.6  0.000325363 i
 29.9  7.7  0.000211231 i
 29.9  7.8  0.000105242 i
 29.9  7.9  7.25438e-06 i
 29.9  8 -8.2767e-05 i
 29.9  8.1 -0.000164755 i
 29.9  8.2 -0.000238552 i
 29.9  8.3 -0.000303941 i
 29.9  8.4 -0.000360674 i
 29.9  8.5 -0.000408527 i
 29.9  8.6 -0.000447342 i
 29.9  8.7 -0.000477082 i
 29.9  8.8 -0.000497883 i
 29.9  8.9 -0.000510085 i
 29.9  9 -0.000514261 i
 29.9  9.1 -0.000511206 i
 29.9  9.2 -0.000501905 i
 29.9  9.3 -0.000487382 i
 29.9  9.4 -0.000468647 i
 29.9  9.5 -0.000445766 i
 29.9  9.6 -0.000418655 i
 29.9  9.7 -0.000380258 i
 29.9  9.8 -0.000327446 i
 29.9  9.9 -0.000215112 i
 29.9  10  0 i

# IsoCurve 2, 201 points
# x y z type
 29.8 -10  0 i
 29.8 -9.9  9.42646e-06 i
 29.8 -9.8  6.85197e-05 i
 29.8 -9.7  9.61347e-05 i
 29.8 -9.6  0.000126483 i
 29.8 -9.5  0.000146483 i
 29.8 -9.4  0.00016037 i
 29.8 -9.3  0.000165541 i
 29.8 -9.2  0.000161677 i
 29.8 -9.1  0.000147512 i
 29.8 -9  0.000122177 i
 29.8 -8.9  8.48233e-05 i
 29.8 -8.8  3.48655e-05 i
 29.8 -8.7 -2.80421e-05 i
 29.8 -8.6 -0.000103965 i
 29.8 -8.5 -0.000192714 i
 29.8 -8.4 -0.00029389 i
 29.8 -8.3 -0.00040697 i
 29.8 -8.2 -0.000531423 i
 29.8 -8.1 -0.000666851 i
 29.8 -8 -0.000813159 i
 29.8 -7.9 -0.000970741 i
 29.8 -7.8 -0.00114067 i
 29.8 -7.7 -0.00132488 i
 29.8 -7.6 -0.00152635 i
 29.8 -7.5 -0.00174924 i
 29.8 -7.4 -0.00199898 i
 29.8 -7.3 -0.00228228 i
 29.8 -7.2 -0.0026071 i
 29.8 -7.1 -0.00298253 i
 29.8 -7 -0.00341855 i
 29.8 -6.9 -0.00392584 i
 29.8 -6.8 -0.00451555 i
 29.8 -6.7 -0.0051991 i
 29.8 -6.6 -0.00598816 i
 29.8 -6.5 -0.00689465 i
 29.8 -6.4 -0.00793086 i
 29.8 -6.3 -0.0091097 i
 29.8 -6.2 -0.0104447 i
 29.8 -6.1 -0.0119503 i
 29.8 -6 -0.013641 i
 29.8 -5.9 -0.0155315 i
 29.8 -5.8 -0.017635 i
 29.8 -5.7 -0.0199624 i
 29.8 -5.6 -0.0225206 i
 29.8 -5.5 -0.0253112 i
 29.8 -5.4 -0.028329 i
 29.8 -5.3 -0.0315618 i
 29.8 -5.2 -0.034989 i
 29.8 -5.1 -0.0385829 i
 29.8 -5 -0.0423086 i
 29.8 -4.9 -0.046125 i
 29.8 -4.8 -0.049986 i
 29.8 -4.7 -0.0538412 i
 29.8 -4.6 -0.057637 i
 29.8 -4.5 -0.0613176 i
 29.8 -4.4 -0.0648256 i
 29.8 -4.3 -0.0681025 i
 29.8 -4.2 -0.0710898 i
 29.8 -4.1 -0.0737283 i
 29.8 -4 -0.0759587 i
 29.8 -3.9 -0.077721 i
