
# Surface 0 of 1 surfaces

# Curve title: ""MAC_deco_5000.csv""

# Contour 0, label:     1.08
-1.1  0.960186  0.68 
-1  0.946416  0.68 
-0.9  0.913259  0.68 
-0.8781  0.9  0.68 
-0.8  0.856708  0.68 
-0.750027  0.8  0.68 
-0.7  0.739223  0.68 
-0.680779  0.7  0.68 
-0.630443  0.6  0.68 
-0.6  0.58854  0.68 
-0.51146  0.5  0.68 
-0.5  0.491936  0.68 
-0.467265  0.4  0.68 
-0.463215  0.3  0.68 
-0.461055  0.2  0.68 
-0.460246  0.1  0.68 
-0.460425  0  0.68 
-0.461599 -0.1  0.68 
-0.463974 -0.2  0.68 
-0.468311 -0.3  0.68 
-0.47571 -0.4  0.68 


# Contour 6, label:      0.6
-0.466803 -0.4  0.6 
-0.5 -0.46562  0.6 
-0.551548 -0.5  0.6 
-0.6 -0.548452  0.6 
-0.7 -0.587034  0.6 
-0.723048 -0.6  0.6 
-0.8 -0.686605  0.6 
-0.826697 -0.7  0.6 
-0.9 -0.747258  0.6 
-1 -0.785742  0.6 
-1.06454 -0.8  0.6 
-1.1 -0.809204  0.6 
-1.2 -0.820439  0.6 
-1.3 -0.820165  0.6 
-1.4 -0.809256  0.6 
-1.44584 -0.8  0.6 
-1.5 -0.787842  0.6 
-1.6 -0.755327  0.6 
-1.7 -0.711287  0.6 
-1.72186 -0.7  0.6 
-1.8 -0.652864  0.6 
-1.87476 -0.6  0.6 
-1.9 -0.578519  0.6 
-1.98451 -0.5  0.6 
-2 -0.482168  0.6 
-2.0685 -0.4  0.6 
-2.1 -0.351752  0.6 
-2.13348 -0.3  0.6 
-2.1832 -0.2  0.6 
-2.2 -0.154105  0.6 
-2.22041 -0.1  0.6 
-2.24645  0  0.6 
-2.26161  0.1  0.6 
-2.26666  0.2  0.6 
-2.2618  0.3  0.6 
-2.24681  0.4  0.6 
-2.22098  0.5  0.6 
-2.2  0.556652  0.6 
-2.18385  0.6  0.6 
-2.13408  0.7  0.6 
-2.1  0.753525  0.6 
-2.06889  0.8  0.6 
-2  0.882877  0.6 
-1.98449  0.9  0.6 
-1.9  0.978346  0.6 
-1.87333  1  0.6 
-1.8  1.05184  0.6 
-1.71702  1.1  0.6 
-1.7  1.10889  0.6 
-1.6  1.15205  0.6 
-1.5  1.18326  0.6 
-1.41786  1.2  0.6 
-1.4  1.20347  0.6 
-1.3  1.21355  0.6 
-1.2  1.21331  0.6 
-1.1  1.20231  0.6 
-1.09002  1.2  0.6 
-1  1.18042  0.6 
-0.9  1.14469  0.6 
-0.818773  1.1  0.6 
-0.8  1.08958  0.6 
-0.702163  1  0.6 
-0.7  0.99769  0.6 
-0.643936  0.9  0.6 
-0.607529  0.8  0.6 
-0.6  0.778961  0.6 
-0.589305  0.7  0.6 
-0.585402  0.6  0.6 
-0.5  0.514598  0.6 
-0.484835  0.5  0.6 
-0.459352  0.4  0.6 
-0.455778  0.3  0.6 
-0.453872  0.2  0.6 
-0.453159  0.1  0.6 
-0.453316  0  0.6 
-0.454352 -0.1  0.6 
-0.456447 -0.2  0.6 
-0.460275 -0.3  0.6 
-0.466803 -0.4  0.6 

 0.50166  1  0.6 
 0.5  0.956903  0.6 
 0.4  0.956903  0.6 
 0.356412  1  0.6 
 0.307617  1.1  0.6 
 0.331687  1.2  0.6 
 0.4  1.2591  0.6 
 0.5  1.2591  0.6 
 0.504415  1.2  0.6 
 0.504609  1.1  0.6 
 0.50166  1  0.6 


# Contour 7, label:     0.52
-0.448921 -0.2  0.52 
-0.452238 -0.3  0.52 
-0.457896 -0.4  0.52 

-0.457896 -0.4  0.52 
-0.5 -0.483227  0.52 
-0.525149 -0.5  0.52 
-0.6 -0.574851  0.52 
-0.656598 -0.6  0.52 
-0.7 -0.680503  0.52 
-0.717049 -0.7  0.52 
-0.794088 -0.8  0.52 
-0.8 -0.807482  0.52 
-0.9 -0.881591  0.52 
-0.93867 -0.9  0.52 
-1 -0.932982  0.52 
-1.1 -0.968891  0.52 
-1.2 -0.992848  0.52 
-1.25127 -1  0.52 
-1.3 -1.00762  0.52 
-1.4 -1.01373  0.52 
-1.5 -1.01153  0.52 
-1.6 -1.00132  0.52 
-1.60784 -1  0.52 
-1.7 -0.983182  0.52 
-1.8 -0.956701  0.52 
-1.9 -0.921574  0.52 
-1.95111 -0.9  0.52 
-2 -0.876817  0.52 
-2.1 -0.821504  0.52 
-2.13468 -0.8  0.52 
-2.2 -0.753478  0.52 
-2.2681 -0.7  0.52 
-2.3 -0.670672  0.52 
-2.37252 -0.6  0.52 
-2.4 -0.568031  0.52 
-2.45679 -0.5  0.52 
-2.5 -0.436949  0.52 
-2.52513 -0.4  0.52 
-2.5806 -0.3  0.52 
-2.6 -0.255847  0.52 
-2.62506 -0.2  0.52 
-2.65964 -0.1  0.52 
-2.68459  0  0.52 
-2.7  0.0948737  0.52 
-2.70088  0.1  0.52 
-2.70944  0.2  0.52 
-2.70966  0.3  0.52 
-2.70158  0.4  0.52 
-2.7  0.409728  0.52 
-2.6857  0.5  0.52 
-2.66121  0.6  0.52 
-2.62723  0.7  0.52 
-2.6  0.76223  0.52 
-2.58334  0.8  0.52 
-2.52862  0.9  0.52 
-2.5  0.94325  0.52 
-2.461  1  0.52 
-2.4  1.07445  0.52 
-2.37776  1.1  0.52 
-2.3  1.17697  0.52 
-2.27456  1.2  0.52 
-2.2  1.25958  0.52 
-2.1427  1.3  0.52 
-2.1  1.32716  0.52 
-2  1.38215  0.52 
-1.9615  1.4  0.52 
-1.9  1.4264  0.52 
-1.8  1.4611  0.52 
-1.7  1.48696  0.52 
-1.62701  1.5  0.52 
-1.6  1.50463  0.52 
-1.5  1.51463  0.52 
-1.4  1.51697  0.52 
-1.3  1.51172  0.52 
-1.20958  1.5  0.52 
-1.2  1.49884  0.52 
-1.1  1.4787  0.52 
-1  1.45038  0.52 
-0.9  1.41319  0.52 
-0.871594  1.4  0.52 
-0.8  1.3667  0.52 
-0.7  1.30857  0.52 
-0.687039  1.3  0.52 
-0.6  1.23288  0.52 
-0.562722  1.2  0.52 
-0.5  1.10722  0.52 
-0.494383  1.1  0.52 
-0.472981  1  0.52 
-0.5  0.905448  0.52 
-0.500602  0.9  0.52 
-0.521793  0.8  0.52 
-0.54011  0.7  0.52 
-0.56249  0.6  0.52 
-0.5  0.53751  0.52 
-0.461033  0.5  0.52 
-0.451438  0.4  0.52 
-0.448341  0.3  0.52 
-0.446689  0.2  0.52 
-0.446071  0.1  0.52 
-0.446207  0  0.52 
-0.447105 -0.1  0.52 
-0.448921 -0.2  0.52 

 0.502639  0.5  0.52 
 0.5  0.497361  0.52 
 0.4  0.497361  0.52 
 0.3  0.497595  0.52 
 0.2  0.499816  0.52 
 0.194568  0.5  0.52 
 0.194568  0.6  0.52 
 0.104606  0.7  0.52 
 0.1  0.711716  0.52 
 0.0666432  0.8  0.52 
 0  0.862548  0.52 
-0.0388899  0.9  0.52 
-0.0930071  1  0.52 
-0.0829067  1.1  0.52 
 0  1.19197  0.52 
 0.00600122  1.2  0.52 
 0.1  1.25106  0.52 
 0.180273  1.3  0.52 
 0.2  1.3058  0.52 
 0.3  1.31446  0.52 
 0.4  1.35481  0.52 
 0.5  1.35481  0.52 
 0.510471  1.3  0.52 
 0.517159  1.2  0.52 
 0.517327  1.1  0.52 
 0.514772  1  0.52 
 0.511357  0.9  0.52 
 0.507699  0.8  0.52 
 0.5058  0.7  0.52 
 0.502639  0.6  0.52 
 0.502639  0.5  0.52 


# Contour 8, label:     0.44
-2.74667  1.5  0.44 
-2.7  1.53784  0.44 
-2.61594  1.6  0.44 
-2.6  1.61078  0.44 
-2.5  1.67262  0.44 
-2.4497  1.7  0.44 
-2.4  1.72516  0.44 
-2.3  1.76923  0.44 
-2.21608  1.8  0.44 
-2.2  1.80558  0.44 
-2.1  1.83491  0.44 
-2  1.85745  0.44 
-1.9  1.8735  0.44 
-1.8  1.88331  0.44 
-1.7  1.88707  0.44 
-1.6  1.88492  0.44 
-1.5  1.87689  0.44 
-1.4  1.86294  0.44 
-1.3  1.84295  0.44 
-1.2  1.81671  0.44 
-1.14972  1.8  0.44 
-1.1  1.78454  0.44 
-1  1.74647  0.44 
-0.9  1.70174  0.44 
-0.896676  1.7  0.44 
-0.8  1.65177  0.44 
-0.707123  1.6  0.44 
-0.7  1.59613  0.44 
-0.6  1.53664  0.44 
-0.538912  1.5  0.44 
-0.5  1.47623  0.44 
-0.4  1.42168  0.44 
-0.34422  1.4  0.44 
-0.3  1.38218  0.44 
-0.2  1.36303  0.44 
-0.1  1.36229  0.44 
 0  1.37108  0.44 
 0.1  1.38272  0.44 
 0.2  1.39704  0.44 
 0.3  1.38733  0.44 
 0.331781  1.4  0.44 
 0.4  1.41191  0.44 
 0.5  1.4038  0.44 
 0.506354  1.4  0.44 
 0.524245  1.3  0.44 
 0.529904  1.2  0.44 
 0.530046  1.1  0.44 
 0.527884  1  0.44 
 0.524995  0.9  0.44 
 0.5219  0.8  0.44 
 0.520292  0.7  0.44 
 0.517618  0.6  0.44 
 0.517618  0.5  0.44 

 0.517618  0.5  0.44 
 0.5  0.482382  0.44 
 0.4  0.482382  0.44 
 0.3  0.482581  0.44 
 0.2  0.48446  0.44 
 0.1  0.487419  0.44 
 0  0.491533  0.44 
-0.1  0.497294  0.44 
-0.13368  0.5  0.44 
-0.13368  0.6  0.44 
-0.2  0.654392  0.44 
-0.3  0.698276  0.44 
-0.308045  0.7  0.44 
-0.4  0.739369  0.44 
-0.44723  0.7  0.44 
-0.5  0.690341  0.44 
-0.539578  0.6  0.44 
-0.5  0.560422  0.44 
-0.437232  0.5  0.44 
-0.443525  0.4  0.44 
-0.440904  0.3  0.44 
-0.439506  0.2  0.44 
-0.438983  0.1  0.44 
-0.439099  0  0.44 
-0.439858 -0.1  0.44 
-0.441395 -0.2  0.44 
-0.444201 -0.3  0.44 
-0.448989 -0.4  0.44 
-0.4991 -0.5  0.44 
-0.5 -0.500913  0.44 
-0.599087 -0.6  0.44 
-0.6 -0.607266  0.44 
-0.642344 -0.7  0.44 
-0.682151 -0.8  0.44 
-0.7 -0.838163  0.44 
